章耐轩
郑雪岩
赵崇霄
朱藻
葛郯
孙吴会
史达祖
都下妓
赵与仁
赵文
王安国
黄机
陈造
王齐愈
吴氏
李天骥
王学文
刘泾
史可堂
邵博
游次公
邵叔齐
赵崇
郑闻
姚孝宁
刘云甫
赵汝愚
荣
萧泰来
苏涧
江万里
苏琼
石麟
王灼
杨樵云
向子
李壁
梅窗
熊节
黄子行
王禹
马子严
臧鲁子
寇准
康与之
曾拨
唐致政
朱嗣发
洪咨夔
沈晦
周申
叶清臣
柳富
曹休齐
张生
李德载
宝月
李景良
王居安
李泳
郭章
赵必�象
秦湛
戴翼
毕大节
邹浩
吴芾
谢枋得
沈端节
方岳
葛立方
张□□
高登
林外
王■高
王清惠
陈亚
刘均国
黄霁宇
陈著
孙忄炎
熊以宁
孙居敬
华岳
邓肃
宋自逊
徐叔至
宋祁
刘珙
王平子
沈瀛
冯伟寿
李子酉
邹应博
留元刚
梁明夫
李氵全
张任国
郑獬
宋德广
黎廷瑞
陈康伯
查■
江致和
方君遇
萧允之
张
郑熏初
郑域
李商英
吴文英
汪卓
去非
叶路钤
吴季子
黄公绍
何师心
江纬
张伯端
郑文妻
虞俦
赵才卿
聂胜琼
范仲淹
陈东甫
段宏章
衙元卿
金淑柔
陈瓘�
管鉴
张景修
何桌
刘望之
³陈
王泳祖
贾逸祖
汤思退
韩玉
张耒
李祁
徐梦龙
王炎午
冯去非
王庭�
黄判院
史深
黄格
王安中
邵缉
洪适
刘德秀
郑斗焕
闾丘次杲
李芸子
钱处仁
冯熔
黄庭坚
陈云
毛幵�
潘方
黄诚之
周济川
曾中思
王同祖
史佐尧
李吕
汪藻
寿涯禅师
杨韶父
汪元量
龚大明
卓田
丁仙现
袁■
翁溪园
徐俯
赵孟谦
何光大
甄良友
李秀兰
范梦龙
彭止
苏舜钦
向氵高
京镗
叶景山
郑楷
乐婉
李纲
尹洙
苏仲及
沈伯文
王清观
丁默
僧儿
徐架阁
丁察院
范文
张来
徐似道
刘潜
陈耆卿
陈若晦
李朴
赵顼
钟辰翁
俞克成
赵耆孙
苏小小
叶梦得
应次蘧
楼采
张仲殊
沈与求
陈晔
倪君
陈偕
李师中
何籀
唐艺孙
蜀妓
净端
朱熹
赵与钅卸
李仲光
郑刚中
刘子寰
赵汝{艹光}
米芾
吴势卿
文珏
郑梦协
周弼
欧阳辟
李清照
赵福元
王子容
魏夫人
谈义仲
董德元
希叟
黄铢
李焕
赵希迈
郑庶
范飞
翁孟寅
醴陵士人
阮阅
关咏
杜龙沙
万俟咏
吕胜己
陈袭善
权无染
赵时奚
陆汉广
徐理
黎道静
曾寓轩
琴操
张枢
徐鹿卿
张抡
薛梦桂
王从叔
章■
田中行
王
范祖禹
叶巽齐
刘性初
续雪谷
萧廷之
蔡戡
游子蒙
程准
张涅
王庚
文及翁
杜安世
杨再可
毕良史
徐某
熊德修
百兰
雷应春
赵缩手
林伯镇
胡翼龙
李石
刘仲讷
张焘
范智闻
陈景沂
某教授
连久道
费时举
郑子玉
严羽
王き
姚镛
林淳
李敬则
张表臣
吴淑真
赵仲御
高惟月
李宏模
王昂
戴复古
朱淑真
刘清夫
杨绘
刘子
王安石
沈蔚
杨端臣
杨亿
储泳
咏槐
欧阳
谢绛
黄升
刘守
许
韩璜
王安礼
关注
和岘
卢炳
胡文卿
尹焕
曾布
刘鉴
蔡襄
赵淇
赵温之
谭方平
李太古
赵希囿
朱松
邬虑
鞠华翁
曹宰
曾宏正
张艾
曾肇
韩维
胡仔
汪辅之
张方仲
刘克逊
褚生
陈以壮
萧元之
陈三聘
姚述尧
王武子
叶适
魏杞
洪迈
李元卓
吴泳
张宰
李敦诗
张式
花仲胤
王亿之
魏子敬
罗子ぅ
鉴堂
沈明叔
梁大年
赵扩
陈日章
高观国
陈к
何锄翁
许及之
祖吴
王道亭
王迈
蒲寿
钟过
曾开国
段倚
阎苍舒
林仰
张拭
熊禾
石延年
黄岩叟
岳珂
邹应龙
冯应瑞
吕颐浩
张祥
傅自得
刘铉
闻人武子
王■
郭世模
杜安道
李朝卿
赵士谷
张时甫
黄裳
俞紫芝
欧阳朝阳
杨太尉
陈策
李裕翁
陈德武
周云
颜奎
何梦桂
李元膺
岳甫
郑元秀
程正同
熊上达
曾觌
郭仲循
朱元夫
孔夷
王观
徐霖
李好义
刘克壮
袁去华
李流谦
林革
芮烨
汪宗臣
胡平仲
姜夔
陈达叟
郑达可
谢懋
刘学箕
胡幼黄
赵与洽
李久善
梁栋
周必大
侯彭老
晏殊
李弥逊
周密
丁无悔
丁求安
马伯升
周端臣
孙觌
覃怀高
罗椅
张杜
刘仙伦
谭宣子
朱子厚
汪梦斗
彭泰翁
严仁
赵汝迕
薜几圣
张扩
莫蒙
吴镒
易祓
赵希明
朱雍
黄铸
韩绛
吴淇
翁合
刘褒
郑无党
章谦亨
吴淑姬
刘敞
邵某
林逋
吴渊
宋齐愈
陈允平
李チ
邓剡
赵善扛
陈士豪
留元崇
林实之
张仲宇
张榘
陈合
沈元实
林自然
周铢
严蕊
刘仁父
吕本中
荣樵仲
彭正大
刘之翰
唐珏
厉寺正
陈楠
贾逋
萧仲芮
晁端礼
蔡京
徐观国
平江妓
陈济翁
赵士柬
萧仲
黄时龙
吴潜
淮上女
任翔龙
郑少微
李坦然
彭子翔
吴景伯
史隽之
龚日升
潘良贵
楼锷
晏几道
张浚
黄廷寿
松洲
陆蕴
李持正
晁公武
李廷忠
李曾伯
胡夫人
徐君宝妻
方衡
龙紫蓬
黄通判
黄笋
程和仲
朱颜
曾忄造
张舜民
王益柔
李漳
李霜涯
舒氏
刘山老
俞国宝
刘菊房
赵希蓬
赵良玉
王大简
江汉
晁补之
王涣
江无□
太尉夫人
李结
钱宀孙
萧某
潘熊飞
楼钥
黄大临
高宣教
连仲宣
仇远
利登
孙洙
刘焘
甄龙友
赋梅
徐瑞
刘应雄
如愚居士
周起
蒋思恭
程梅齐
岳飞
吕同老
彭耜
李仁本
张端义
真德秀
幼卿
卢祖皋
程垓
刘
温镗
苏辙
孙锐
何大圭
张成可
程东湾
史介翁
陈克
陆■
耿时举
范成大
欧阳澈
刘子才
宋江
陆游
韩准
朱敦复
危稹
卑叔文
王易简
张继先
潘阆
徐经孙
侯寘�
王苍
郑觉齐
刘袤
王琪
曹希蕴
谢明远
危昴霄
王益
朱服
薛燧
陈郁
王仲甫
陈与义
卫宗武
仲并
廖刚
刘鼎臣妻
黄谈
张绍文
李新
杨道居
柴元彪
则禅师
阮逸女
吴则礼
辛弃疾
贾少卿
吴元可
孙惟信
惠洪
张纲
圆禅师
丁宥
贺铸
张辑
陈深
赵桓¸
静春
张伯寿
方信孺
无何有翁
严参
王澡
高似孙
包恢
王某
葛胜仲
薛式
黄应武
邓有功
赵崇れ
房舜卿
逸民
沈长卿
罗志仁
周文璞
苏氏
米苇
廖莹中
碧虚
姜特立
韩嘉彦
韩世忠
晁元礼
戴山隐
杨佥判
孔榘
南山居士
姚宽
章斯才
李甲
方千里
杨无咎
了元
如晦
草夫人
张震
何蓑衣道人
吴淑虎
黄师参
汪存
陈诜
黄子功
米友仁
王沂孙
李氏
俞文豹
王孝严
刘氏
胡于
余
曾栋
李洪
张林
杨伯岩
鼓峰
曹勋
刘过
丁注
王去疾
瞿翁
富扌肃
刘将孙
司马光
舒亶�
刘天游
洪子大
勿翁
裴湘
强至
叶阊
唐婉
滕宗谅
吕南公
蔡幼学
谢{艹过}
张孝忠
张炎
杜良臣
张桂
石孝友
李致远
董嗣杲
吴千能
章丽贞
庞籍
崔与之
王氏
洪皓
李冠
李南金
苏茂一
毛滂
方资
王澜
曾原成阝
范致虚
王之道
尤袤
吴叔虎
张磐
高子芳
彭叔夏
陈人杰
虞刚简
赵善括
洪惠英
卓世清
赵氵晋
施岳
许庭
袁正真
韦居安
彭履道
王奕
