蕴端
元万顷
黄子行
刘侯生
柳叙
吴本泰
夏勤邦
吴榴阁
敬文
郑禧
赵雍
王楙
周薰
吴芳培
叶元阶
赵莲
严贞
张耀曾
陈鹏飞
周牧
小怀
王芬
太上隐者
柳拱辰
陈玑
韦谦恒
黄仲畬
张兟
周麟之
时宝官
赵纯
朱秉成
刘冠雄
愚公谷人
李质（元粹）
杨性
王楠
法良
释今无
沈芳
张茂先
刘南顾
夏孙桐
李乃璟
石延年
叶际唐
元友让
蒋忠
梁本
钱继章
王茂（廷槐）
刘复胜
王琚
周直孺
高攀
滕白
张谦（地山）
赵汝□
李希邺
黄寿衮
王照圆
王艮
倪瑞
金麟孙
金堡
柳说
吴琼仙
李士钤
岳赓廷
种道人
朱惠
孙仪
周泽（天雨）
朱世濂
周茂良
俞鹤
黄泰
严忠济
储嗣宗
夏言
周郔
吕高
曾逢辰
苏台明
柳桂孙
郑明
褚启宗
戴巏
叶琼
伯颜
张镛
冯彬
龚友福
胡钦华
周荣起
郑绍
滕㢗
陈汝言
华扩
曹履林
孙逸
梁民相
吴敏德
何中
赵录缜
王正谊
曹德庆
任询
田榕
吴晦之
王处厚
陈僩
先著
任观
郑述诚
周金
李金声
孙揆
陈嘉言
安嵥
梁观
鲍桂生
赵履上
汪子祜
周芬斗
王宁
王新
李饴荪
柳耆
赵彦伦
曹耀湘
宋镕
华宗康
刘绘
周信庵
方寿
卢言
柳富
华翥
戴王言
王增年
郑俞
梅娇
顾豫
董德元
宋鐄
汪元量
翁定远
包衡
居遁
刘思英
蔡金台
元友直
杨学李
任昱
蒋主孝
胡传钊
吴仲轩
笃世南
萧岑
熊浚明
郑培
姜垓
蔡钧
翁泳
许洽
徐波
孙爽
刘春霖
同州判官
吴观礼
陈衡
胡一桂
释今足
关汉卿
王通
王度
刘显世
黄昭
沙从心
吴传正
徐芳
金谨思
曾绎
何宏
黄节
曹元询
元孚
李弥逊
马万方
许?
李诉
蔡振武
胡采
黄某
宗升
元希声
朱师服
翁采
尹殷辅
吴充
沈荣简
僧初
达三
马氏女（虎关）
赵竹屋
瑞元
刘复
王炜（辰若）
史万岁
袁震兴
黄棐
那彦成
言南金
徐士佳
潘寔
刘富槐
贞元道人
翁逢龙
郑黻
杨廷麟
胡之纯
赵至道
林百龄
黄矩
何妥
侯恪
黄敏
张一鸣
释今摩
艾申
饶金
卢邺
毛德琦
崧骏
赵观复
余庆
李润庆
李星沅
卢宗回
唐致政
吴规臣
王拱辰
周光岳
王槐建
陈及祖
郑冠卿
龚日升
王平子
杨宗濂
祩宏
郑南金
徐敬德
王迤祖
卢尚书
余日强
刁约
王士衡
王至甸
许篈
王述
王士祯
陈铦
张道渥
郑洪业
辛应时
龚日章
阎宽
蒋之美
卢尚卿
王士禛
韦绶
李渎
恩龄
侯册
韦斌
李焕
范玉
王初
陈圣彪
杨学周
谢元淮
管学洛
高不骞
朴淳
晁咏之
吴梅卿
卢征
林荣
汪玉轸
刘盛芥
杨豫成
韦道逊
吕坤德
张庆恩
熊岑
林鸣莺
张筹
徐阶
曹耀琨
熊应亨
汪子才
沈甡
王平国
王大铠
梁九图
周鼎
汪瑶
韦铿
陈增源
梁上国
李士模
杨昌光
罗子衎
朱祖昌
王幼玉
季应期
柳德骥
熊知至
王娇红
董瞿老
邵济儒
邹方锷
王旦
李为章
韦鼎
徐天赉
沈晭
金炯
陈偕灿
苏清月
张适
郑瀱
刘本杰
方武子
尹尚廉
郑鄤
林有席
陈龙正
宗源瀚
王珙
顾熙
陆光岳
梁士诒
沈君清
韦嗣立
熊彦诗
王煓
曹宏
聂古柏
僧鉴
苏瑞容
刘传任
丘辅仁
张应渭
方蘋
梁小槎
顾有容
王德振
范准
熊梦渭
刘广礼
方毓昭
释今岩
方信孺
胡天游
任曾贻
王献臣
潘乃光
邹思成
侯友彰
乾道民谣
赵时弥
陈羔
汪承庆
杨尚书
周南
胡于
黄祖舜
蒋子云
邹金灿
商侑
史迁
范俊
寇国宝
黎伯元
杨怡
王佑曾
侯氏
邢宥
寿铭
师拓
吕飞熊
范睿
刘显廷
寇准
黄荣仲
蒋山卿
雷春沼
尤澹仙
陈佐
黎良知
苏去疾
梅顺淑
萧赜
李奉璋
侯延庆
唐梅臞
黄荦
陈梦庚
唐弼
乔树楠
郭清
陆阜
蒋介
王延
寿鹏飞
宋本
黎宙
孙华
张继卒
常国武
刘某吴恭亨
张盛藻
倪素玉
蒋允中
黄觉
秦嘉禾
岑雨岩
梅挚
张利民
赵崇霄
和刚中
张宇
孙康
胡奎（文辉）
华春娘
胡大用
柴随亨
宋远
黎善夫
华晞曾
侯畐
敖启潜
王瑞淑
董槐
余季女
华清淑
苏大年
黄体芳
刘臻妻
柳瑾
俞远
周青莲
赵讷轩
费密
王筠
陈梦林
刘芳
嘉兴卟仙
洪焱祖
李云卿
吴梦阳
段让
龚伯摴
刘盛藻
史筠
曹大章
马潜
吴淇
姚绶
申从濩
卢注
贡师泰
安伟
段全
熊朝
郑雪岩
陈元炳
刘子建
赵邦美
袁陟
段宏章
国梁
卢鸿基
高世彦
龚孟夔
刘朝班
危西麓
叶棣
沈名荪
何广生
孔继鑅
黄翼圣
赵伯晟
吴淑
曹菁
陈士章
刘文翰
熊道裕
王子韶
郭第
陈愿
王子俊
林廷机
章鋆
郑桓
赵伯溥
徐节征
林诰
袁天麒
观荣
三宝柱
段谷
李仁寿
陈熊
张位
侯善渊
梁以瑭
张僖
周瑾
林鸿年
袁九昵
唐婉
梁长明
牛士良
朱彦时
静维
康僧渊
潘观保
宋褧
邢慈静
王梦庚
庄一煝
季璠
梁平仲
许庭珠
景孤血
刘文嘉
王羡门
周瑶
王绮
朱彰
史恩培
韩滉
徐成
谢安国
王瑶湘
李本仁
卢碧筠
黎登
张若渟
陶迁
吴升之
王越宾
陈佩
虞允文
张丽俊
宋德方
景元启
孔庆瑚
贺灿然
王鲁
唐皞
陈勤
朱善（师舜）
刘仪凤
黎道华
屠绅
王鲁复
许飞云
彭绍宗
冯骝
梁成楠
息夫躬
任映垣
石中玉
韩察
景覃
李畹
王贞庆
元和举子
陶伯宗
顾琼
周熙元
吕锦文
庞履廷
王世永
董宜阳
龚宗元
李焘
季芝昌
陈文炳
李珥
危和
张元孝
王纯臣
黄诰
卢茂钦
刘戡之
王世芬
邹鸣鹤
林直
万曰吉
王瓒
王纲
赵崇璠
张槎
蒋元龙
查诗继
安平
释鼎需
孙桐生
王正己
危固
许振祎
王世绶
刘旭
卢拱
张伯淳
周去非
卓明卿
林烃
赵崇皦
王纶
徐书受
顾朝泰
金赡
苏守庆
王世琪
黎琼
袁炜
邹钺
杨迈
陈九州
翁彦约
华德
赵崇缵
蒋旦
张钥
郑侨
张抑
高敬命
释绍嵩
黄得礼
隋恩湛
吴淑虎
孙尔准
陈洪圭
田钧
冯舒
吴雯华
陈碧娘
元季川
徐国显
郑惠真
陶应雷
林安道
丁铢
李元白
何大成
王谨礼
商采
陆羽嬉
段油
唐震
胡大成
郑斯立
熊瑞
林嗣宗
赵贞吉
金城
李六更
沈蕙玉
王谨言
席子研
朱应江
朱朝瑛
任安士
邬修
陆锡恩
孙云凤
顾瑶华
段倚
唐籊
胡子期
赵佥判
朱景昭
夏之中
柳庭俊
徐于
胡士莹
叶杞
佛图澄
梅灏
沈节
李天保
夏元鼎
杨承祖
萧悫
吴瑗（文青）
史承谦
支遁
胡子澄
郁能
陈翥
钱筮离
王德棻
朱积
吕防
李应荣
徐锦
释今应
郑至道
杨履晋
钱聚瀛
谢庄
王毂
承龄
王雍
王潢
李开侁
刘炜潭
沈咏
刘泰
张士元
尤煜
李好文
蒋锡震
吴敬梓
王世藻等
孔欣
赵况
赵惟和
王𨗨
柳根
翁敏之
席慧文
刘炜泽
卢绛
徐夜
张永亮
万氏
吴光
夏溥
王仕春
侯彭老
毛锡繁
赵希㑂
赵淇
徐震
马大同
金鎏
王苍
顾斗光
完颜思敬
王代功
钱徽
蔡翥
王师曾
杨光祖
王正功
杨旻
赵淦夫
王仪通
侯遗
卢钧
郭恩孚
申钦
张伯驹
屠性
马长淑
王识
姚宗典
龚明之
李仁
翁森
韩缜姬
施玫
金棨
杨昕
赵淮
徐章
侯寘
陶岘
智朴
李承召
吴淑姬
胡松
陶谷
唐思言
杨泽民
释定光
袁守定
韩嘉彦
蔡含灵
刘镇
邹若媛
陈泽泰
洛阳女
李茂先
黄轸
张元道
蒋白
彭遇
徐镇
魏毓兰
王振尧
周崇厚
郑滋
沈度
郑叔侨
陈曾寿
智久
窦遴奇
张树槐
洛浦道士
胡梅所
杨白元
文绅仪
黄钟
孙卓
孙凤洲
蒋兴祖女
郑周卿
钟允谦
王烨
贡性之
洪子大
释师瑞
王暨
华恩
郑国辅
黄文开
吕奫
傅子建
饶敦裕
岳端
刘元吉
释延吉
盛时泰
欧景辰
黄钧
王端朝
蒋华子
郭祖庚
邹佩兰
陶金
黄革
谢天民
洪天锡
王汉
陶崇
程文海
赵宾
洪圣保
释延寿
茅荐馨
蔡铨
福存
曹倜
张镇孙
孙锐
唐烜
张九思
张公庠
洪兴祖
王僧佑
向子贲
杨文敬
喻太守
今释
传正
吴铭育
朱褒
王德名
顾易
陶寿煌
曹鉴伦
邹贻诗
赵清源
郑裕
马鹏飞
